,#,Team,Pl,W,D,L,F,A,GD,Pts,Last 6,Source
0,1,Celtic,6,5,1,0,14,3,11,16,,Scottish premiership
1,2,St Mirren,6,4,2,0,10,6,4,14,,Scottish premiership
2,3,Rangers,6,4,0,2,9,2,7,12,,Scottish premiership
3,4,Motherwell,6,3,1,2,6,5,1,10,,Scottish premiership
4,5,Hibernian,6,2,1,3,11,10,1,7,,Scottish premiership
5,6,Hearts,6,2,1,3,4,3,1,7,,Scottish premiership
6,7,Ross County,6,2,1,3,6,11,-5,7,,Scottish premiership
7,8,Kilmarnock,6,1,3,2,6,7,-1,6,,Scottish premiership
8,9,Dundee,6,1,3,2,7,10,-3,6,,Scottish premiership
9,10,Livingston,6,1,3,2,5,11,-6,6,,Scottish premiership
10,11,Aberdeen,6,1,2,3,7,9,-2,5,,Scottish premiership
11,12,St. Johnstone,6,0,2,4,2,10,-8,2,,Scottish premiership
